title,appId,url,icon,developer,developerId,priceText,currency,price,free,summary,scoreText,score
Kwai - Assistir vídeos legais e divertidos,com.kwai.video,https://play.google.com/store/apps/details?id=com.kwai.video,https://play-lh.googleusercontent.com/bZVmsjxkjwD9rAw8rISIw2mdlRT4ZoREcI9sAloVX8NoTXtAKEQrxUjzdJvPkfpuAcs,KWAI,KWAI,FREE,undefined,0,true,Venha e encontre mais vídeos incríveis,4.4,4.4390693
Shopee: Compre e Venda Online,com.shopee.br,https://play.google.com/store/apps/details?id=com.shopee.br,https://play-lh.googleusercontent.com/r6Zbxbw1BO82gM2yYKQNxi_PQeARwhq9jyHGmRiqBwktY_m-C9l4_13gp0umoZ2qz-Y,Shopee,Shopee,FREE,undefined,0,true,Online shopping | Free Shipping Coupon | Shopee Warranty,4.8,4.810004
Google Meet - Secure Video Meetings,com.google.android.apps.meetings,https://play.google.com/store/apps/details?id=com.google.android.apps.meetings,https://play-lh.googleusercontent.com/GBYSf20osBl2CRHbjGOyaOG5kQ3G4xbRau-dzScU9ozuXQJtnUZPkR3IqEDOo5OiVgU,Google LLC,5700313618786177705,FREE,undefined,0,true,Connect and collaborate easily with Google Meet,3.9,3.9262707
Resso,com.moonvideo.android.resso,https://play.google.com/store/apps/details?id=com.moonvideo.android.resso,https://play-lh.googleusercontent.com/hPqZwC2sruRLzsJpGo-65syUWhW-2V3-JdCPRxfB3LIHY32bgy9CmI-z-jOiz3iP6Q,Moon Video Inc.,Moon+Video+Inc.,FREE,undefined,0,true,"Listen to millions of music- English, Hindi, Tamil, Telugu, Punjabi &amp; more",4.2,4.1732593
TikTok,com.zhiliaoapp.musically,https://play.google.com/store/apps/details?id=com.zhiliaoapp.musically,https://play-lh.googleusercontent.com/iBYjvYuNq8BB7EEEHktPG1fpX9NiY7Jcyg1iRtQxO442r9CZ8H-X9cLkTjpbORwWDG9d,TikTok Pte. Ltd.,TikTok+Pte.+Ltd.,FREE,undefined,0,true,"Videos, Music &amp; Live Streams",4.5,4.5325327
"PicPay: Pagamentos, Transferências, Pix e Cashback",com.picpay,https://play.google.com/store/apps/details?id=com.picpay,https://play-lh.googleusercontent.com/0HA823BrjSmHr-I5iWSuw6GRzDY5ZpmpmAmz_cZo3X8yTREqEI0J0apsMe3QlxFfP42Z,PicPay,PicPay,FREE,undefined,0,true,"PicPay: Make and Receive Online Payments, Transfers, Pix and Earn Cashback.",4.3,4.340753
Nubank,com.nu.production,https://play.google.com/store/apps/details?id=com.nu.production,https://play-lh.googleusercontent.com/Unhb39WhfaV72U7YnpAJhqNMXUO1RdP-uq780IyGI6bTo76GlXB3zVOAiV_p3yOElMA,Nubank,Nubank,FREE,undefined,0,true,Nubank - Tired of queues and bureaucracy? US too! Ask for your card.,4.4,4.4337134
WhatsApp Messenger,com.whatsapp,https://play.google.com/store/apps/details?id=com.whatsapp,https://play-lh.googleusercontent.com/bYtqbOcTYOlgc6gqZ2rwb8lptHuwlNE75zYJu6Bn076-hTmvd96HH-6v7S0YUAAJXoJN,WhatsApp LLC,WhatsApp+LLC,FREE,undefined,0,true,Simple. Personal. Secure.,4.3,4.2575426
Magazine Luiza: Compras Online com Entrega Rápida,com.luizalabs.mlapp,https://play.google.com/store/apps/details?id=com.luizalabs.mlapp,https://play-lh.googleusercontent.com/136O6ze3P-WweHHPguhK2WWZMnnYuQx-8Cq8USL_ZNkGQ7wGlHEVL-7Xylz2k1Y_dw,Magazine Luiza,5441107124606544137,FREE,undefined,0,true,Offers up to 70% OFF on online purchases and free shipping * from R $ 99. 😍,4.6,4.5767593
CAIXA Tem,br.gov.caixa.tem,https://play.google.com/store/apps/details?id=br.gov.caixa.tem,https://play-lh.googleusercontent.com/laeKBCF2fUwtRr-6YSvnzWxKVpHek9-tNg5hQ4wUVaUEKc9I7sTH2Ekco80_J1UUsQ,Caixa Econômica Federal,Caixa+Econ%C3%B4mica+Federal,FREE,undefined,0,true,Chat with BOX on your mobile with this lightweight and very easy to use app;),4.0,4.0126934
Carteira Digital de Trânsito,br.gov.serpro.cnhe,https://play.google.com/store/apps/details?id=br.gov.serpro.cnhe,https://play-lh.googleusercontent.com/YCcJqhni2YNUA6PlrPijw2CHxaEFGRN4nwooOTdHtN8jr3SzDos6Bb_xzYu07xOvBKhL,Governo do Brasil,5829287075355252046,FREE,undefined,0,true,CNH and CRLV Digital Versions,4.7,4.7450542
TikTok Lite,com.zhiliaoapp.musically.go,https://play.google.com/store/apps/details?id=com.zhiliaoapp.musically.go,https://play-lh.googleusercontent.com/LLUZLIcA7MbM5yLwAA-oTAt3q5kdDjIIfrEqR2mGLAxvVJcwruxJYQChwPDahLvSjFc,TikTok PTE.ltd.,5299725221209516149,FREE,undefined,0,true,TikTok Lite now comes with better network connection and minimal device storage.,4.4,4.401034
Carteira de Trabalho Digital,br.gov.dataprev.carteiradigital,https://play.google.com/store/apps/details?id=br.gov.dataprev.carteiradigital,https://play-lh.googleusercontent.com/1ybecDEb4nQ6PyySuoegZoKMUgusaNFrPVu2kIwLMDAavcdeYEVR779wArvhPvSdc4c,Governo do Brasil,5829287075355252046,FREE,undefined,0,true,Official application of the Digital Work Card of the Ministry of Economy.,3.8,3.815303
