title,appId,url,icon,developer,developerId,priceText,currency,price,free,summary,scoreText,score
CryptoTab Browser Pro—mine on a PRO level,pro.cryptotab.android,https://play.google.com/store/apps/details?id=pro.cryptotab.android,https://play-lh.googleusercontent.com/ZhFlRgY094ZawJ2fu7IUWqfSmGcKt5ygPBu4OOVR_GFOi4m-8g59z5_husjK_F4hyQ,CryptoCompany OU,7473884676694961129,R$6.99,R$,6.99,false,Increase your mining speed with a special version of CryptoTab Browser,3.8,3.829158
Game Booster 4x Faster Pro - GFX Tool & Lag Fix,com.g19mobile.gameboosterplus,https://play.google.com/store/apps/details?id=com.g19mobile.gameboosterplus,https://play-lh.googleusercontent.com/Dc3a_8NI5Zyd8iNG5agJI4jjyS1aP9JcfnSaYHJX4DYWO_V35RZkN08pQBa4mbHCSTI,G19 Mobile,G19+Mobile,R$1.49,R$,1.49,false,Safest Booster GFX Tool on Google Play is now compatible with newer game update,4.6,4.6314282
Você tem 1 real?,appinventor.ai_edgarcordini.Umreal,https://play.google.com/store/apps/details?id=appinventor.ai_edgarcordini.Umreal,https://play-lh.googleusercontent.com/tnzbMAXHcahgBrdjKhk-YebFSpGYceLhL_GIkiZOa3HggqaPjogs5py94BSFLLxm0oM,FalchionAPPs,FalchionAPPs,R$0.99,R$,0.99,false,Donate 1 real!,4.8,4.785714
Panda Mouse Pro(BETA),com.panda.mouse,https://play.google.com/store/apps/details?id=com.panda.mouse,https://play-lh.googleusercontent.com/a7P7BChHxd08GRMFZqbsg23SeAUFxofChA8Xel94t0wUPSxJn43vuZQe1rbpVUxpJujU,Panda Gaming Studio,Panda+Gaming+Studio,R$11.99,R$,11.99,false,Play games with mouse&amp;keyboard! Google Play login! No ban!,3.8,3.8266978
Panda Gamepad Pro (BETA),com.panda.gamepad,https://play.google.com/store/apps/details?id=com.panda.gamepad,https://play-lh.googleusercontent.com/UxIyw5BjDfBuFUxens_AgmHuniBAji6zmUzNBRSUkwgU-7AwDYk6Pe61vbU97X0okCY,Panda Gaming Studio,Panda+Gaming+Studio,R$12.00,R$,12,false,Play hot games with gamepad!,2.9,2.9132166
Toca Life: Hospital,com.tocaboca.tocahospital,https://play.google.com/store/apps/details?id=com.tocaboca.tocahospital,https://play-lh.googleusercontent.com/Jeoff_0VjrZ52ou5ghwKoCinaKcOYvWKOASuUNorrhN1nOkBTKn4yqEf0xFViz-3K_L4,Toca Boca,8567646723268777320,R$12.90,R$,12.9,false,Experience the excitement of a busy medical center with Toca Life: Hospital!,4.3,4.274707
FL Studio Mobile,com.imageline.FLM,https://play.google.com/store/apps/details?id=com.imageline.FLM,https://play-lh.googleusercontent.com/Pxdgk7UjvfpihQv_WaAIndFJS0f_NcGvKGoKDN6HovXmnAQexYTgxDtPWdFRErJ_NRs,Image-Line,8228703397536036345,R$18.00,R$,18,false,The fastest way from your brain to your speakers.,4.2,4.174038
Torque Pro (OBD 2 & Car),org.prowl.torque,https://play.google.com/store/apps/details?id=org.prowl.torque,https://play-lh.googleusercontent.com/jCmUBkfai1vJhnCYXDefs706hLCrBAPtzDX4JI4aFuVza2MS-ZMSSJnJFSFEHciDU9s,Ian Hawkins,Ian+Hawkins,R$11.95,R$,11.95,false,"Measure BHP, Torque &amp; 0-60
Clear car OBD faults
View engine data in Google Earth",3.7,3.7424607
RAM & Game Booster by Augustro (67% OFF),com.augustro.rambooster,https://play.google.com/store/apps/details?id=com.augustro.rambooster,https://play-lh.googleusercontent.com/5fyeWysICmUO6kNVG6TJudWLOA_1QSjC9H8GW_PdD9nV1Y0lAnpU6pHrBP0fjWUlph-4,Augustro,6070161350609535667,R$0.99,R$,0.99,false,"Super efficient RAM Booster and Game Booster, Works automatically!",4.6,4.5768166
The Wonder Weeks,org.twisevictory.apps,https://play.google.com/store/apps/details?id=org.twisevictory.apps,https://play-lh.googleusercontent.com/YmeElk9rx6Ik3AXMAwtX8ce42Zbt8TGABf-Iowk-a8LD3Vahjwi_Ct3Z8sHGcuYZyNXa,Domus Technica,Domus+Technica,R$27.99,R$,27.99,false,The world’s most popular and best-selling baby app,4.4,4.3935003
