title,appId,url,icon,developer,developerId,priceText,currency,price,free,summary,scoreText,score
CryptoTab Browser Pro—mine on a PRO level,pro.cryptotab.android,https://play.google.com/store/apps/details?id=pro.cryptotab.android,https://play-lh.googleusercontent.com/ZhFlRgY094ZawJ2fu7IUWqfSmGcKt5ygPBu4OOVR_GFOi4m-8g59z5_husjK_F4hyQ,CryptoCompany OU,7473884676694961129,R$3.39,R$,3.39,false,Increase your mining speed with a special version of CryptoTab Browser,3.9,3.909017
Game Booster 4x Faster Pro - GFX Tool & Lag Fix,com.g19mobile.gameboosterplus,https://play.google.com/store/apps/details?id=com.g19mobile.gameboosterplus,https://play-lh.googleusercontent.com/Dc3a_8NI5Zyd8iNG5agJI4jjyS1aP9JcfnSaYHJX4DYWO_V35RZkN08pQBa4mbHCSTI,G19 Mobile,G19+Mobile,R$1.49,R$,1.49,false,Safest Booster GFX Tool on Google Play is now compatible with newer game update,4.6,4.631813
Panda Mouse Pro(BETA),com.panda.mouse,https://play.google.com/store/apps/details?id=com.panda.mouse,https://play-lh.googleusercontent.com/a7P7BChHxd08GRMFZqbsg23SeAUFxofChA8Xel94t0wUPSxJn43vuZQe1rbpVUxpJujU,Panda Gaming Studio,Panda+Gaming+Studio,R$11.99,R$,11.99,false,Play games with mouse&amp;keyboard! Google Play login! No ban!,3.9,3.891455
Panda Gamepad Pro (BETA),com.panda.gamepad,https://play.google.com/store/apps/details?id=com.panda.gamepad,https://play-lh.googleusercontent.com/UxIyw5BjDfBuFUxens_AgmHuniBAji6zmUzNBRSUkwgU-7AwDYk6Pe61vbU97X0okCY,Panda Gaming Studio,Panda+Gaming+Studio,R$12.00,R$,12,false,Play hot games with gamepad!,2.9,2.917326
Você tem 1 real?,appinventor.ai_edgarcordini.Umreal,https://play.google.com/store/apps/details?id=appinventor.ai_edgarcordini.Umreal,https://play-lh.googleusercontent.com/tnzbMAXHcahgBrdjKhk-YebFSpGYceLhL_GIkiZOa3HggqaPjogs5py94BSFLLxm0oM,FalchionAPPs,FalchionAPPs,R$0.99,R$,0.99,false,Donate 1 real!,4.7,4.7156863
Toca Life: Hospital,com.tocaboca.tocahospital,https://play.google.com/store/apps/details?id=com.tocaboca.tocahospital,https://play-lh.googleusercontent.com/Jeoff_0VjrZ52ou5ghwKoCinaKcOYvWKOASuUNorrhN1nOkBTKn4yqEf0xFViz-3K_L4,Toca Boca,8567646723268777320,R$12.90,R$,12.9,false,Experience the excitement of a busy medical center with Toca Life: Hospital!,4.3,4.2546062
TeamSpeak 3 - Voice Chat Software,com.teamspeak.ts3client,https://play.google.com/store/apps/details?id=com.teamspeak.ts3client,https://play-lh.googleusercontent.com/2JqzHM185sArb5To_1vpaTo3rvmIotOW7OPmSMNW6eYJMQAK9NrHbJi4FLs5YaoeMuQ,TeamSpeak Systems GmbH,TeamSpeak+Systems+GmbH,R$4.49,R$,4.49,false,TeamSpeak - Secure Chat for Gaming &amp; Business,3.4,3.3792691
FL Studio Mobile,com.imageline.FLM,https://play.google.com/store/apps/details?id=com.imageline.FLM,https://play-lh.googleusercontent.com/Pxdgk7UjvfpihQv_WaAIndFJS0f_NcGvKGoKDN6HovXmnAQexYTgxDtPWdFRErJ_NRs,Image-Line,8228703397536036345,R$18.00,R$,18,false,The fastest way from your brain to your speakers.,4.2,4.1706967
Torque Pro (OBD 2 & Car),org.prowl.torque,https://play.google.com/store/apps/details?id=org.prowl.torque,https://play-lh.googleusercontent.com/jCmUBkfai1vJhnCYXDefs706hLCrBAPtzDX4JI4aFuVza2MS-ZMSSJnJFSFEHciDU9s,Ian Hawkins,Ian+Hawkins,R$11.95,R$,11.95,false,"Measure BHP, Torque &amp; 0-60
Clear car OBD faults
View engine data in Google Earth",3.7,3.7430294
IPTV Extreme Pro,com.pecana.iptvextremepro,https://play.google.com/store/apps/details?id=com.pecana.iptvextremepro,https://play-lh.googleusercontent.com/5uzjsJJYl0F_UY_Q_ZqbldW4Jk_3AYaSaKNOBH61-f6zOWVmQ8iApja17ft4UqLt0nQ,Paolo Turatti,Paolo+Turatti,R$6.49,R$,6.49,false,Manage your IPTV live channels and VOD playlists (no playlist included),4.3,4.2595797
Simple Gallery Pro: Video & Photo Manager & Editor,com.simplemobiletools.gallery.pro,https://play.google.com/store/apps/details?id=com.simplemobiletools.gallery.pro,https://play-lh.googleusercontent.com/AVZZZbUEx3alBo-SsECDrrdM5q9lSr0yXxjydJuiilxyqrMjqYlcK9INd1uUHem12w,Simple Mobile Tools,9070296388022589266,R$3.49,R$,3.49,false,"Your favorite photo album with no ads👍 Crop pictures, edit photos, video &amp; more",4.7,4.7296534
Video & TV Cast Pro for Sony TV | Cast Web Videos,de.twokit.video.tv.cast.browser.sony.pro,https://play.google.com/store/apps/details?id=de.twokit.video.tv.cast.browser.sony.pro,https://play-lh.googleusercontent.com/UXtCBMTYnmBZd8OI8kF39IpeCG0JvbXro5wSdfvutIAFrnAthbC27b6wR-u13Fglits,2kit consulting,6284879872961307001,R$3.99,R$,3.99,false,"Browser for Sony TV to stream web videos, online movies and live tv",2.0,1.99
Toca Life: Neighborhood,com.tocaboca.tocaneighborhood,https://play.google.com/store/apps/details?id=com.tocaboca.tocaneighborhood,https://play-lh.googleusercontent.com/u8Y_d9KagdDQPkecx9wyCTD68aqSAwnE1-X78n8o2gez2QJLAj1S8rJlHO_eFvsRHw,Toca Boca,8567646723268777320,R$12.90,R$,12.9,false,Move into your new block,4.2,4.1569233
TouchRetouch,com.advasoft.touchretouch,https://play.google.com/store/apps/details?id=com.advasoft.touchretouch,https://play-lh.googleusercontent.com/G_TE35bTcKM6tPTxPuZy_gz5JxnJSdMahz8Lcv2dUQ4QiwLoAflyaw6xS529mlHA5w,ADVA Soft,ADVA+Soft,R$6.99,R$,6.99,false,TouchRetouch is an app to remove unwanted content from photos in an instant.,4.6,4.610217
The Wonder Weeks,org.twisevictory.apps,https://play.google.com/store/apps/details?id=org.twisevictory.apps,https://play-lh.googleusercontent.com/YmeElk9rx6Ik3AXMAwtX8ce42Zbt8TGABf-Iowk-a8LD3Vahjwi_Ct3Z8sHGcuYZyNXa,Domus Technica,Domus+Technica,R$27.99,R$,27.99,false,The world’s most popular and best-selling baby app,4.4,4.4005504
